Dish.ID,Species,1,6,9,12,14,16,19,21,23,26,30,34,37,41,43,Length,Temperature,Moisture,Replicate,Start.Seeds,End.Seeds,Moldy,Empty,Viable,Starting.viable.count,Total.germinated
1,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,MF,PR,2,18,18,8,6,4,4,0
1,FH,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,3M,MF,PR,2,18,8,0,4,4,14,10
2,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,MF,PR,1,18,18,5,8,5,5,0
2,FH,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,3M,MF,PR,1,18,8,4,2,2,12,10
3,FC,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3M,RT,PR,2,18,16,9,4,3,5,2
3,FH,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,3M,RT,PR,2,18,13,1,5,7,12,5
4,FC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5M,DF,NS,1,18,16,6,5,5,7,2
4,FH,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,5M,DF,NS,1,18,7,0,3,4,15,11
5,FC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,DF,PO,1,18,17,0,8,9,9,1
5,FH,0,0,5,2,2,0,0,0,0,1,0,0,0,0,0,3M,DF,PO,1,18,8,1,3,4,14,10
6,FC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,DF,PR,2,18,17,15,0,2,3,1
6,FH,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,5M,DF,PR,2,18,7,3,2,2,13,11
7,FC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1M,FR,PO,1,18,17,5,3,9,10,1
7,FH,0,0,7,1,2,0,1,0,0,0,0,0,0,0,0,1M,FR,PO,1,17,6,1,1,4,15,11
8,FC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1M,MF,PR,3,18,16,10,2,4,6,2
8,FH,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1M,MF,PR,3,18,13,2,5,6,11,5
9,FC,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3M,MF,NS,2,18,16,13,1,2,4,2
9,FH,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,3M,MF,NS,2,18,8,1,3,4,14,10
10,FC,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1M,MF,NS,3,18,16,10,2,4,6,2
10,FH,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,1M,MF,NS,3,18,6,5,0,1,13,12
11,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,DF,PO,2,18,18,8,4,6,6,0
11,FH,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0,5M,DF,PO,2,18,2,0,2,0,16,16
12,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,FR,NS,2,17,17,10,3,4,4,0
12,FH,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,3M,FR,NS,2,18,8,0,4,4,14,10
13,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,MF,PR,1,18,18,0,8,10,10,0
13,FH,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,5M,MF,PR,1,18,11,0,5,6,13,7
14,FC,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1M,DF,PR,1,18,16,0,5,11,13,2
14,FH,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,1M,DF,PR,1,18,9,2,4,3,12,9
15,FC,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5M,FR,PO,1,18,14,5,5,4,8,4
15,FH,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,5M,FR,PO,1,18,2,0,2,0,16,16
16,FC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5M,FR,NS,2,18,16,13,1,2,4,2
16,FH,0,2,9,2,1,0,0,0,0,0,0,0,0,0,0,5M,FR,NS,2,18,4,2,1,1,15,14
17,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,MF,PR,3,18,18,14,3,1,1,0
17,FH,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,3M,MF,PR,3,18,10,4,3,3,11,8
18,FC,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3M,MF,NS,3,18,15,7,2,6,9,3
18,FH,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,3M,MF,NS,3,18,8,0,6,2,12,10
19,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,FR,PO,3,18,18,0,11,7,7,0
19,FH,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3M,FR,PO,3,18,10,0,7,3,11,8
20,FC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,C,RT,PO,1,18,16,7,5,4,6,2
20,FH,0,0,9,5,0,0,0,1,0,1,0,0,0,0,0,C,RT,PO,1,18,2,0,2,NA,16,16
