"Dish.ID","Species","Dish.Number","Length","Temperature","Moisture","Units","timeBef","timeAf","count","nCum","propCum"
"1-FC","FC","1","3M","MF","PR",1,0,1,0,0,0
"1-FC","FC","1","3M","MF","PR",1,1,6,0,0,0
"1-FC","FC","1","3M","MF","PR",1,6,9,0,0,0
"1-FC","FC","1","3M","MF","PR",1,9,12,0,0,0
"1-FC","FC","1","3M","MF","PR",1,12,14,0,0,0
"1-FC","FC","1","3M","MF","PR",1,14,16,0,0,0
"1-FC","FC","1","3M","MF","PR",1,16,19,0,0,0
"1-FC","FC","1","3M","MF","PR",1,19,21,0,0,0
"1-FC","FC","1","3M","MF","PR",1,21,23,0,0,0
"1-FC","FC","1","3M","MF","PR",1,23,26,0,0,0
"1-FC","FC","1","3M","MF","PR",1,26,30,0,0,0
"1-FC","FC","1","3M","MF","PR",1,30,34,0,0,0
"1-FC","FC","1","3M","MF","PR",1,34,37,0,0,0
"1-FC","FC","1","3M","MF","PR",1,37,41,0,0,0
"1-FC","FC","1","3M","MF","PR",1,41,43,0,0,0
"1-FC","FC","1","3M","MF","PR",1,43,Inf,4,NA,NA
"2-FC","FC","2","3M","MF","PR",3,0,1,0,0,0
"2-FC","FC","2","3M","MF","PR",3,1,6,0,0,0
"2-FC","FC","2","3M","MF","PR",3,6,9,0,0,0
"2-FC","FC","2","3M","MF","PR",3,9,12,0,0,0
"2-FC","FC","2","3M","MF","PR",3,12,14,0,0,0
"2-FC","FC","2","3M","MF","PR",3,14,16,0,0,0
"2-FC","FC","2","3M","MF","PR",3,16,19,0,0,0
"2-FC","FC","2","3M","MF","PR",3,19,21,0,0,0
"2-FC","FC","2","3M","MF","PR",3,21,23,0,0,0
"2-FC","FC","2","3M","MF","PR",3,23,26,0,0,0
"2-FC","FC","2","3M","MF","PR",3,26,30,0,0,0
"2-FC","FC","2","3M","MF","PR",3,30,34,0,0,0
"2-FC","FC","2","3M","MF","PR",3,34,37,0,0,0
"2-FC","FC","2","3M","MF","PR",3,37,41,0,0,0
"2-FC","FC","2","3M","MF","PR",3,41,43,0,0,0
"2-FC","FC","2","3M","MF","PR",3,43,Inf,5,NA,NA
"3-FC","FC","3","3M","RT","PR",5,0,1,0,0,0
"3-FC","FC","3","3M","RT","PR",5,1,6,0,0,0
"3-FC","FC","3","3M","RT","PR",5,6,9,1,1,0.2
"3-FC","FC","3","3M","RT","PR",5,9,12,0,1,0.2
"3-FC","FC","3","3M","RT","PR",5,12,14,0,1,0.2
"3-FC","FC","3","3M","RT","PR",5,14,16,0,1,0.2
"3-FC","FC","3","3M","RT","PR",5,16,19,0,1,0.2
"3-FC","FC","3","3M","RT","PR",5,19,21,0,1,0.2
"3-FC","FC","3","3M","RT","PR",5,21,23,0,1,0.2
"3-FC","FC","3","3M","RT","PR",5,23,26,0,1,0.2
"3-FC","FC","3","3M","RT","PR",5,26,30,0,1,0.2
"3-FC","FC","3","3M","RT","PR",5,30,34,1,2,0.4
"3-FC","FC","3","3M","RT","PR",5,34,37,0,2,0.4
"3-FC","FC","3","3M","RT","PR",5,37,41,0,2,0.4
"3-FC","FC","3","3M","RT","PR",5,41,43,0,2,0.4
"3-FC","FC","3","3M","RT","PR",5,43,Inf,3,NA,NA
"4-FC","FC","4","5M","DF","NS",7,0,1,0,0,0
"4-FC","FC","4","5M","DF","NS",7,1,6,1,1,0.142857142857143
"4-FC","FC","4","5M","DF","NS",7,6,9,1,2,0.285714285714286
"4-FC","FC","4","5M","DF","NS",7,9,12,0,2,0.285714285714286
"4-FC","FC","4","5M","DF","NS",7,12,14,0,2,0.285714285714286
"4-FC","FC","4","5M","DF","NS",7,14,16,0,2,0.285714285714286
"4-FC","FC","4","5M","DF","NS",7,16,19,0,2,0.285714285714286
"4-FC","FC","4","5M","DF","NS",7,19,21,0,2,0.285714285714286
"4-FC","FC","4","5M","DF","NS",7,21,23,0,2,0.285714285714286
"4-FC","FC","4","5M","DF","NS",7,23,26,0,2,0.285714285714286
"4-FC","FC","4","5M","DF","NS",7,26,30,0,2,0.285714285714286
"4-FC","FC","4","5M","DF","NS",7,30,34,0,2,0.285714285714286
"4-FC","FC","4","5M","DF","NS",7,34,37,0,2,0.285714285714286
"4-FC","FC","4","5M","DF","NS",7,37,41,0,2,0.285714285714286
"4-FC","FC","4","5M","DF","NS",7,41,43,0,2,0.285714285714286
"4-FC","FC","4","5M","DF","NS",7,43,Inf,5,NA,NA
"5-FC","FC","5","3M","DF","PO",9,0,1,0,0,0
"5-FC","FC","5","3M","DF","PO",9,1,6,1,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,6,9,0,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,9,12,0,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,12,14,0,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,14,16,0,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,16,19,0,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,19,21,0,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,21,23,0,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,23,26,0,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,26,30,0,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,30,34,0,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,34,37,0,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,37,41,0,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,41,43,0,1,0.111111111111111
"5-FC","FC","5","3M","DF","PO",9,43,Inf,8,NA,NA
"6-FC","FC","6","5M","DF","PR",11,0,1,0,0,0
"6-FC","FC","6","5M","DF","PR",11,1,6,1,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,6,9,0,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,9,12,0,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,12,14,0,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,14,16,0,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,16,19,0,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,19,21,0,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,21,23,0,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,23,26,0,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,26,30,0,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,30,34,0,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,34,37,0,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,37,41,0,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,41,43,0,1,0.333333333333333
"6-FC","FC","6","5M","DF","PR",11,43,Inf,2,NA,NA
"7-FC","FC","7","1M","FR","PO",13,0,1,0,0,0
"7-FC","FC","7","1M","FR","PO",13,1,6,0,0,0
"7-FC","FC","7","1M","FR","PO",13,6,9,0,0,0
"7-FC","FC","7","1M","FR","PO",13,9,12,0,0,0
"7-FC","FC","7","1M","FR","PO",13,12,14,0,0,0
"7-FC","FC","7","1M","FR","PO",13,14,16,0,0,0
"7-FC","FC","7","1M","FR","PO",13,16,19,1,1,0.1
"7-FC","FC","7","1M","FR","PO",13,19,21,0,1,0.1
"7-FC","FC","7","1M","FR","PO",13,21,23,0,1,0.1
"7-FC","FC","7","1M","FR","PO",13,23,26,0,1,0.1
"7-FC","FC","7","1M","FR","PO",13,26,30,0,1,0.1
"7-FC","FC","7","1M","FR","PO",13,30,34,0,1,0.1
"7-FC","FC","7","1M","FR","PO",13,34,37,0,1,0.1
"7-FC","FC","7","1M","FR","PO",13,37,41,0,1,0.1
"7-FC","FC","7","1M","FR","PO",13,41,43,0,1,0.1
"7-FC","FC","7","1M","FR","PO",13,43,Inf,9,NA,NA
