"Dish.ID","Species","Length","Temperature","Moisture","Starting.viable.count","Total.germinated","Combo"
"1","FC","3M","MF","PR",4,0,"3M.MF.PR"
"2","FC","3M","MF","PR",5,0,"3M.MF.PR"
"3","FC","3M","RT","PR",5,2,"3M.RT.PR"
"4","FC","5M","DF","NS",7,2,"5M.DF.NS"
"5","FC","3M","DF","PO",9,1,"3M.DF.PO"
"6","FC","5M","DF","PR",3,1,"5M.DF.PR"
"7","FC","1M","FR","PO",10,1,"1M.FR.PO"
"8","FC","1M","MF","PR",6,2,"1M.MF.PR"
"9","FC","3M","MF","NS",4,2,"3M.MF.NS"
"10","FC","1M","MF","NS",6,2,"1M.MF.NS"
"11","FC","5M","DF","PO",6,0,"5M.DF.PO"
"12","FC","3M","FR","NS",4,0,"3M.FR.NS"
"13","FC","5M","MF","PR",10,0,"5M.MF.PR"
"14","FC","1M","DF","PR",13,2,"1M.DF.PR"
"15","FC","5M","FR","PO",8,4,"5M.FR.PO"
"16","FC","5M","FR","NS",4,2,"5M.FR.NS"
"17","FC","3M","MF","PR",1,0,"3M.MF.PR"
"18","FC","3M","MF","NS",9,3,"3M.MF.NS"
"19","FC","3M","FR","PO",7,0,"3M.FR.PO"
"20","FC","C","RT","PO",6,2,"C.RT.PO"
"21","FC","3M","FR","PR",2,0,"3M.FR.PR"
"22","FC","1M","FR","NS",8,0,"1M.FR.NS"
"24","FC","5M","FR","PO",2,0,"5M.FR.PO"
"25","FC","3M","MF","PO",5,0,"3M.MF.PO"
"26","FC","3M","DF","PO",6,0,"3M.DF.PO"
"27","FC","1M","DF","PR",8,1,"1M.DF.PR"
"28","FC","3M","FR","PO",8,1,"3M.FR.PO"
"29","FC","5M","FR","NS",5,3,"5M.FR.NS"
"30","FC","5M","RT","PR",14,0,"5M.RT.PR"
"31","FC","5M","MF","PO",10,0,"5M.MF.PO"
"32","FC","1M","MF","PO",3,0,"1M.MF.PO"
"33","FC","1M","RT","PR",6,2,"1M.RT.PR"
"34","FC","5M","FR","NS",10,1,"5M.FR.NS"
"35","FC","3M","DF","PR",6,0,"3M.DF.PR"
"36","FC","1M","FR","PR",8,0,"1M.FR.PR"
"37","FC","1M","FR","PO",8,0,"1M.FR.PO"
"38","FC","5M","MF","PR",11,2,"5M.MF.PR"
"39","FC","3M","DF","NS",11,0,"3M.DF.NS"
"40","FC","1M","MF","PR",12,3,"1M.MF.PR"
"41","FC","3M","FR","NS",11,2,"3M.FR.NS"
"42","FC","5M","RT","PR",5,2,"5M.RT.PR"
"43","FC","5M","MF","NS",10,2,"5M.MF.NS"
"44","FC","3M","RT","PR",6,0,"3M.RT.PR"
"45","FC","1M","DF","NS",5,1,"1M.DF.NS"
"46","FC","C","RT","PO",10,1,"C.RT.PO"
"47","FC","1M","MF","PO",8,3,"1M.MF.PO"
"48","FC","5M","MF","NS",8,0,"5M.MF.NS"
"49","FC","1M","RT","PR",13,2,"1M.RT.PR"
"50","FC","1M","DF","NS",8,3,"1M.DF.NS"
"51","FC","1M","DF","PO",13,0,"1M.DF.PO"
"52","FC","3M","DF","PR",9,0,"3M.DF.PR"
"53","FC","5M","FR","PR",11,0,"5M.FR.PR"
"54","FC","1M","MF","NS",9,0,"1M.MF.NS"
"55","FC","3M","DF","PR",13,1,"3M.DF.PR"
"56","FC","5M","MF","PO",13,0,"5M.MF.PO"
"57","FC","3M","FR","NS",13,0,"3M.FR.NS"
"58","FC","5M","DF","PR",13,2,"5M.DF.PR"
"59","FC","1M","DF","NS",7,1,"1M.DF.NS"
"60","FC","1M","DF","PO",7,0,"1M.DF.PO"
"61","FC","3M","DF","PO",5,0,"3M.DF.PO"
"62","FC","1M","FR","NS",5,1,"1M.FR.NS"
"63","FC","C","RT","NS",6,0,"C.RT.NS"
"64","FC","1M","DF","PR",10,1,"1M.DF.PR"
"65","FC","3M","FR","PR",5,2,"3M.FR.PR"
"66","FC","C","RT","NS",7,1,"C.RT.NS"
"67","FC","3M","FR","PR",8,1,"3M.FR.PR"
"68","FC","1M","FR","PR",10,1,"1M.FR.PR"
"69","FC","1M","FR","PO",13,0,"1M.FR.PO"
"70","FC","1M","DF","PO",9,0,"1M.DF.PO"
